年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
1995,富山県,Toyama,59300,2290,2620,30
1996,富山県,Toyama,58700,2260,2580,30
1997,富山県,Toyama,58100,2240,2540,29
1998,富山県,Toyama,57600,2220,2500,29
1999,富山県,Toyama,57200,2200,2460,29
2000,富山県,Toyama,56700,2180,2450,28
2001,富山県,Toyama,56400,2170,2420,28
2002,富山県,Toyama,56100,2160,2410,28
2003,富山県,Toyama,55900,2150,2410,28
2004,富山県,Toyama,55700,2140,2390,28
2005,富山県,Toyama,55500,2140,2430,29
2006,富山県,Toyama,55400,2120,2420,28
2007,富山県,Toyama,55200,2120,2400,29
2008,富山県,Toyama,55100,2120,2390,28
2009,富山県,Toyama,54900,2120,2400,28
2010,富山県,Toyama,54800,2120,2390,28
2011,富山県,Toyama,54800,2120,2390,28
2012,富山県,Toyama,54700,2120,2380,28
2013,富山県,Toyama,54500,2120,2420,28
2014,富山県,Toyama,54400,2110,2460,30
2015,富山県,Toyama,54200,2110,2470,29
2016,富山県,Toyama,54000,2100,2510,30
2017,富山県,Toyama,53900,2090,2530,30
2018,富山県,Toyama,53700,2090,2580,31
2019,富山県,Toyama,53500,2080,2640,32
2020,富山県,Toyama,53400,2070,2670,32
2021,富山県,Toyama,53300,2070,2650,32
2022,富山県,Toyama,53200,2070,2650,32
1965,鳥取県,Tottori,31300,3740,16300,879
1966,鳥取県,Tottori,31200,3710,16400,884
1967,鳥取県,Tottori,31100,3700,15500,835
1968,鳥取県,Tottori,31000,3640,15700,816
1969,鳥取県,Tottori,30800,3590,15700,806
1970,鳥取県,Tottori,30600,3580,15600,801
1971,鳥取県,Tottori,30400,3530,15600,795
1972,鳥取県,Tottori,30000,3480,15200,777
1973,鳥取県,Tottori,29500,3410,15000,770
1974,鳥取県,Tottori,29000,3310,14900,762
1975,鳥取県,Tottori,28300,3220,14600,739
1976,鳥取県,Tottori,28000,3090,14500,721
1977,鳥取県,Tottori,27800,3070,14500,706
1978,鳥取県,Tottori,27600,3060,14400,708
1979,鳥取県,Tottori,27400,3040,14300,706
1980,鳥取県,Tottori,27200,3010,14200,701
1981,鳥取県,Tottori,26700,2970,14200,704
1982,鳥取県,Tottori,26500,2940,14200,699
1983,鳥取県,Tottori,26300,2910,14100,694
1984,鳥取県,Tottori,26100,2880,14100,689
1985,鳥取県,Tottori,25800,2850,14100,678
1986,鳥取県,Tottori,25600,2810,14100,668
1987,鳥取県,Tottori,25300,2780,14000,660
1988,鳥取県,Tottori,25100,2750,14000,647
1989,鳥取県,Tottori,24900,2730,13800,641
1990,鳥取県,Tottori,24700,2700,13800,633
1991,鳥取県,Tottori,24500,2670,13600,621
1992,鳥取県,Tottori,24300,2650,13600,614
1993,鳥取県,Tottori,24100,2630,13400,604
1994,鳥取県,Tottori,23900,2620,13200,599
1995,鳥取県,Tottori,23800,2600,13000,587
1996,鳥取県,Tottori,23700,2600,12800,582
1997,鳥取県,Tottori,23600,2580,12700,571
1998,鳥取県,Tottori,23500,2560,12500,559
1999,鳥取県,Tottori,23300,2560,12200,553
2000,鳥取県,Tottori,23000,2520,11900,545
2001,鳥取県,Tottori,22700,2510,11500,515
2002,鳥取県,Tottori,22600,2480,11200,483
2003,鳥取県,Tottori,22400,2460,10900,471
2004,鳥取県,Tottori,22300,2440,10800,464
2005,鳥取県,Tottori,22100,2420,10700,461
2006,鳥取県,Tottori,22000,2410,10600,453
2007,鳥取県,Tottori,22000,2410,10600,453
2008,鳥取県,Tottori,21900,2400,10500,452
2009,鳥取県,Tottori,21900,2400,10500,451
2010,鳥取県,Tottori,21800,2390,10500,453
2011,鳥取県,Tottori,21500,2350,10800,469
2012,鳥取県,Tottori,21400,2340,10800,473
2013,鳥取県,Tottori,21400,2340,10800,476
2014,鳥取県,Tottori,21300,2330,10700,472
2015,鳥取県,Tottori,21300,2310,10700,467
2016,鳥取県,Tottori,21300,2300,10600,462
2017,鳥取県,Tottori,21200,2290,10600,457
2018,鳥取県,Tottori,21100,2270,10500,451
2019,鳥取県,Tottori,21100,2270,10500,449
2020,鳥取県,Tottori,21100,2270,10500,449
2021,鳥取県,Tottori,21000,2260,10400,445
2022,鳥取県,Tottori,20700,2230,10300,441
1965,東京都,Tokyo,5350,252,21700,414
1966,東京都,Tokyo,5080,239,20800,397
1967,東京都,Tokyo,4310,206,18700,398
1968,東京都,Tokyo,3680,182,17300,382
1969,東京都,Tokyo,3170,162,16300,363
1970,東京都,Tokyo,2860,148,15300,349
1971,東京都,Tokyo,2460,127,13900,327
1972,東京都,Tokyo,2240,116,13000,306
1973,東京都,Tokyo,2020,110,12300,298
1974,東京都,Tokyo,1530,91,12500,300
1975,東京都,Tokyo,1280,76,12900,301
1976,東京都,Tokyo,1240,75,12800,275
1977,東京都,Tokyo,1170,71,12600,272
1978,東京都,Tokyo,1100,69,12600,275
1979,東京都,Tokyo,1050,62,12500,271
1980,東京都,Tokyo,981,58,12200,154
1981,東京都,Tokyo,901,54,12000,152
1982,東京都,Tokyo,829,49,11900,151
1983,東京都,Tokyo,796,47,11800,150
1984,東京都,Tokyo,773,46,11700,149
1985,東京都,Tokyo,739,43,11600,145
1986,東京都,Tokyo,727,42,11500,143
1987,東京都,Tokyo,701,41,11200,139
1988,東京都,Tokyo,637,36,11000,136
1989,東京都,Tokyo,620,35,10900,136
1990,東京都,Tokyo,595,34,10800,136
1991,東京都,Tokyo,581,33,10600,133
1992,東京都,Tokyo,567,32,10200,129
1993,東京都,Tokyo,546,31,9770,126
1994,東京都,Tokyo,507,28,9650,124
1995,東京都,Tokyo,465,25,9370,122
1996,東京都,Tokyo,443,24,9030,119
1997,東京都,Tokyo,423,23,9030,116
1998,東京都,Tokyo,401,22,8800,115
1999,東京都,Tokyo,387,22,8670,113
2000,東京都,Tokyo,375,21,8490,110
2001,東京都,Tokyo,359,20,8140,101
2002,東京都,Tokyo,339,19,8090,101
2003,東京都,Tokyo,329,18,8020,100
2004,東京都,Tokyo,318,17,7960,98
2005,東京都,Tokyo,308,17,7920,98
2006,東京都,Tokyo,297,17,7910,99
2007,東京都,Tokyo,292,16,7680,96
2008,東京都,Tokyo,287,16,7510,95
2009,東京都,Tokyo,285,16,7400,93
2010,東京都,Tokyo,283,16,7280,92
2011,東京都,Tokyo,279,16,7210,92
2012,東京都,Tokyo,277,15,7120,91
2013,東京都,Tokyo,275,15,7020,89
2014,東京都,Tokyo,269,15,6920,88
2015,東京都,Tokyo,262,15,6770,86
2016,東京都,Tokyo,255,14,6640,84
2017,東京都,Tokyo,245,14,6550,84
2018,東京都,Tokyo,243,13,6450,84
2019,東京都,Tokyo,237,12,6390,82
2020,東京都,Tokyo,217,11,6230,81
2021,東京都,Tokyo,212,11,6100,79
2022,東京都,Tokyo,207,11,6000,78
1965,徳島県,Tokushima,31400,942,20300,741
1966,徳島県,Tokushima,31200,939,20600,768
1967,徳島県,Tokushima,30700,921,20600,768
1968,徳島県,Tokushima,30300,909,20100,750
1969,徳島県,Tokushima,29800,894,19600,731
1970,徳島県,Tokushima,29100,873,19300,720
1971,徳島県,Tokushima,28500,854,18900,704
1972,徳島県,Tokushima,27800,834,18700,696
1973,徳島県,Tokushima,27200,813,18600,692
1974,徳島県,Tokushima,26500,795,18700,704
1975,徳島県,Tokushima,25800,778,18500,689
1976,徳島県,Tokushima,25200,753,18100,666
1977,徳島県,Tokushima,24600,728,18000,664
1978,徳島県,Tokushima,24100,718,17500,641
1979,徳島県,Tokushima,24000,715,17300,630
1980,徳島県,Tokushima,23700,709,17200,626
1981,徳島県,Tokushima,23500,707,16900,610
1982,徳島県,Tokushima,23400,702,16700,598
1983,徳島県,Tokushima,23200,692,16400,578
1984,徳島県,Tokushima,23100,679,16000,568
1985,徳島県,Tokushima,23000,676,15800,556
1986,徳島県,Tokushima,22900,675,15600,555
1987,徳島県,Tokushima,22800,670,15300,562
1988,徳島県,Tokushima,22700,667,15200,559
1989,徳島県,Tokushima,22600,664,14700,541
1990,徳島県,Tokushima,22500,662,14400,526
1991,徳島県,Tokushima,22400,661,14200,516
1992,徳島県,Tokushima,22300,653,14100,508
1993,徳島県,Tokushima,22200,652,13900,503
1994,徳島県,Tokushima,22100,649,13800,497
1995,徳島県,Tokushima,22000,647,13600,492
1996,徳島県,Tokushima,21900,646,13400,482
1997,徳島県,Tokushima,21800,639,13200,473
1998,徳島県,Tokushima,21600,635,12900,459
1999,徳島県,Tokushima,21500,631,12600,447
2000,徳島県,Tokushima,21300,627,12200,434
2001,徳島県,Tokushima,21200,622,11900,422
2002,徳島県,Tokushima,21100,620,11500,413
2003,徳島県,Tokushima,21000,616,11100,406
2004,徳島県,Tokushima,20800,611,10900,397
2005,徳島県,Tokushima,20600,604,10800,394
2006,徳島県,Tokushima,20500,602,10600,385
2007,徳島県,Tokushima,20400,600,10300,377
2008,徳島県,Tokushima,20300,596,10200,372
2009,徳島県,Tokushima,20200,593,10100,370
2010,徳島県,Tokushima,20200,592,10000,366
2011,徳島県,Tokushima,20100,587,9910,363
2012,徳島県,Tokushima,20000,586,9810,358
2013,徳島県,Tokushima,20000,583,9720,355
2014,徳島県,Tokushima,19900,581,9620,351
2015,徳島県,Tokushima,19800,556,9460,344
2016,徳島県,Tokushima,19400,543,9290,337
2017,徳島県,Tokushima,19200,538,9190,335
2018,徳島県,Tokushima,19100,535,9050,329
2019,徳島県,Tokushima,19000,532,8930,327
2020,徳島県,Tokushima,18800,529,8780,321
2021,徳島県,Tokushima,18700,525,8590,314
2022,徳島県,Tokushima,18600,522,8430,303
1965,静岡県,Shizuoka,54200,3140,70100,2780
1966,静岡県,Shizuoka,53300,3090,69400,2750
1967,静岡県,Shizuoka,51900,2920,68500,2970
1968,静岡県,Shizuoka,50700,2810,67700,2860
1969,静岡県,Shizuoka,49500,2750,67000,2810
1970,静岡県,Shizuoka,48000,2680,66400,2760
1971,静岡県,Shizuoka,45900,2520,65600,2740
1972,静岡県,Shizuoka,44600,2440,65200,2740
1973,静岡県,Shizuoka,42600,2360,64900,2700
1974,静岡県,Shizuoka,40300,2270,64300,2690
1975,静岡県,Shizuoka,39000,2000,63900,2650
1976,静岡県,Shizuoka,38200,1850,63700,2550
1977,静岡県,Shizuoka,37200,1770,63200,2510
1978,静岡県,Shizuoka,36100,1710,62700,2500
1979,静岡県,Shizuoka,34800,1650,62200,2460
1980,静岡県,Shizuoka,33900,1590,61800,2460
1981,静岡県,Shizuoka,33200,1560,61600,2420
1982,静岡県,Shizuoka,32800,1530,61400,2410
1983,静岡県,Shizuoka,32400,1520,61100,2400
1984,静岡県,Shizuoka,32100,1500,60800,2380
1985,静岡県,Shizuoka,31800,1480,60300,2360
1986,静岡県,Shizuoka,31200,1450,59700,2320
1987,静岡県,Shizuoka,30700,1420,59400,2300
1988,静岡県,Shizuoka,30200,1380,58800,2240
1989,静岡県,Shizuoka,29700,1360,57400,2160
1990,静岡県,Shizuoka,29300,1320,56600,2120
1991,静岡県,Shizuoka,28900,1300,56100,2100
1992,静岡県,Shizuoka,28500,1290,55300,2050
1993,静岡県,Shizuoka,28100,1270,54500,2010
1994,静岡県,Shizuoka,27700,1250,53600,1980
1995,静岡県,Shizuoka,27400,1240,52600,1940
1996,静岡県,Shizuoka,27100,1220,51700,1880
1997,静岡県,Shizuoka,26600,1200,51100,1850
1998,静岡県,Shizuoka,26200,1190,50700,1840
1999,静岡県,Shizuoka,25900,1170,50300,1820
2000,静岡県,Shizuoka,25500,1160,50000,1800
2001,静岡県,Shizuoka,25100,1130,49800,1790
2002,静岡県,Shizuoka,24700,1110,49400,1770
2003,静岡県,Shizuoka,24400,1100,49100,1760
2004,静岡県,Shizuoka,24100,1080,48700,1740
2005,静岡県,Shizuoka,23900,1070,48400,1730
2006,静岡県,Shizuoka,23600,1060,48000,1710
2007,静岡県,Shizuoka,23200,1040,47600,1690
2008,静岡県,Shizuoka,22900,1030,47000,1710
2009,静岡県,Shizuoka,22600,1020,46100,1670
2010,静岡県,Shizuoka,22400,1010,45700,1660
2011,静岡県,Shizuoka,22300,1000,45200,1640
2012,静岡県,Shizuoka,22200,999,44900,1630
2013,静岡県,Shizuoka,22000,990,44500,1610
2014,静岡県,Shizuoka,21900,982,44100,1550
2015,静岡県,Shizuoka,21700,977,43700,1480
2016,静岡県,Shizuoka,21500,974,43200,1410
2017,静岡県,Shizuoka,21400,971,42700,1350
2018,静岡県,Shizuoka,21200,965,41800,1270
2019,静岡県,Shizuoka,21000,956,40900,1250
2020,静岡県,Shizuoka,20800,944,39900,1210
2021,静岡県,Shizuoka,20600,934,38800,1180
2022,静岡県,Shizuoka,20500,930,37800,1150
1965,島根県,Shimane,48800,5270,18000,1780
1966,島根県,Shimane,48800,5270,18000,1770
1967,島根県,Shimane,48800,5270,16800,1630
1968,島根県,Shimane,48600,5250,15800,1530
1969,島根県,Shimane,48300,5210,14400,1380
1970,島根県,Shimane,48000,5170,14100,1350
1971,島根県,Shimane,46800,4920,13600,1340
1972,島根県,Shimane,45500,4720,13100,1270
1973,島根県,Shimane,45200,4640,13200,1270
1974,島根県,Shimane,42300,4340,13100,1250
1975,島根県,Shimane,41100,4210,13100,1230
1976,島根県,Shimane,40700,4150,13100,1220
1977,島根県,Shimane,40400,4130,12900,1160
1978,島根県,Shimane,40100,4100,12700,1130
1979,島根県,Shimane,39700,4040,12400,1080
1980,島根県,Shimane,39200,3980,12300,1070
1981,島根県,Shimane,38800,3930,12100,1030
1982,島根県,Shimane,38400,3880,11700,991
1983,島根県,Shimane,37200,3750,11300,958
1984,島根県,Shimane,36800,3710,11100,938
1985,島根県,Shimane,36300,3640,10800,907
1986,島根県,Shimane,36000,3600,10600,870
1987,島根県,Shimane,35500,3550,10400,849
1988,島根県,Shimane,34900,3490,10200,835
1989,島根県,Shimane,34600,3460,10000,817
1990,島根県,Shimane,34300,3430,10200,817
1991,島根県,Shimane,33700,3370,9930,794
1992,島根県,Shimane,33300,3330,9780,782
1993,島根県,Shimane,32900,3290,9560,765
1994,島根県,Shimane,32500,3250,9350,749
1995,島根県,Shimane,32000,3190,9100,731
1996,島根県,Shimane,31500,3130,8810,714
1997,島根県,Shimane,31100,3090,8640,703
1998,島根県,Shimane,30700,3060,8310,675
1999,島根県,Shimane,30300,3020,8060,658
2000,島根県,Shimane,30100,2990,7840,641
2001,島根県,Shimane,29700,2950,7690,619
2002,島根県,Shimane,29400,2910,7590,608
2003,島根県,Shimane,29200,2880,7440,599
2004,島根県,Shimane,29000,2860,7340,591
2005,島根県,Shimane,28800,2840,7250,583
2006,島根県,Shimane,28600,2830,7160,575
2007,島根県,Shimane,28500,2810,7070,568
2008,島根県,Shimane,28300,2800,6970,561
2009,島根県,Shimane,28200,2790,6930,557
2010,島根県,Shimane,28100,2780,7000,561
2011,島根県,Shimane,27800,2760,7070,565
2012,島根県,Shimane,27700,2740,7020,563
2013,島根県,Shimane,27700,2740,6950,557
2014,島根県,Shimane,27500,2740,6830,548
2015,島根県,Shimane,27500,2730,6730,540
2016,島根県,Shimane,27300,2720,6680,537
2017,島根県,Shimane,27100,2710,6590,531
2018,島根県,Shimane,27000,2690,6540,527
2019,島根県,Shimane,26900,2680,6500,523
2020,島根県,Shimane,26700,2660,6480,521
2021,島根県,Shimane,26600,2650,6450,519
2022,島根県,Shimane,26400,2630,6410,516
1965,滋賀県,Shiga,62100,4020,7750,79
1966,滋賀県,Shiga,62300,4000,7670,78
1967,滋賀県,Shiga,62900,4010,7320,75
1968,滋賀県,Shiga,62800,3990,7000,71
1969,滋賀県,Shiga,62600,3980,7000,71
1970,滋賀県,Shiga,61900,3820,6920,69
1971,滋賀県,Shiga,61200,3770,6730,68
1972,滋賀県,Shiga,60200,3750,6680,64
1973,滋賀県,Shiga,59400,3720,6610,64
1974,滋賀県,Shiga,58400,3680,6540,65
1975,滋賀県,Shiga,57300,3620,6470,64
1976,滋賀県,Shiga,56700,3580,6370,64
1977,滋賀県,Shiga,56100,3550,6310,63
1978,滋賀県,Shiga,55800,3490,6230,62
1979,滋賀県,Shiga,55400,3370,6160,59
1980,滋賀県,Shiga,55000,3310,6110,61
1981,滋賀県,Shiga,54700,3200,6010,59
1982,滋賀県,Shiga,54300,3150,5910,58
1983,滋賀県,Shiga,54000,3120,5860,55
1984,滋賀県,Shiga,53800,3100,5730,54
1985,滋賀県,Shiga,53600,3080,5640,55
1986,滋賀県,Shiga,53300,3030,5570,53
1987,滋賀県,Shiga,53100,2980,5420,52
1988,滋賀県,Shiga,52900,2920,5320,51
1989,滋賀県,Shiga,52600,2900,5200,51
1990,滋賀県,Shiga,52200,2880,5100,51
1991,滋賀県,Shiga,51900,2860,5010,49
1992,滋賀県,Shiga,51500,2820,4920,49
1993,滋賀県,Shiga,51200,2810,4870,49
1994,滋賀県,Shiga,51000,2730,4810,47
1995,滋賀県,Shiga,50700,2690,4730,47
1996,滋賀県,Shiga,50500,2620,4690,46
1997,滋賀県,Shiga,50200,2570,4660,45
1998,滋賀県,Shiga,49900,2520,4600,45
1999,滋賀県,Shiga,49700,2500,4580,45
2000,滋賀県,Shiga,49300,2480,4550,45
2001,滋賀県,Shiga,48900,2460,4480,44
2002,滋賀県,Shiga,48500,2430,4410,44
2003,滋賀県,Shiga,48200,2410,4340,44
2004,滋賀県,Shiga,48000,2410,4310,43
2005,滋賀県,Shiga,47900,2410,4290,43
2006,滋賀県,Shiga,47700,2380,4290,42
2007,滋賀県,Shiga,47400,2370,4270,42
2008,滋賀県,Shiga,47200,2350,4250,41
2009,滋賀県,Shiga,47000,2340,4180,40
2010,滋賀県,Shiga,46900,2340,4140,40
2011,滋賀県,Shiga,46800,2330,4140,40
2012,滋賀県,Shiga,46700,2330,4130,40
2013,滋賀県,Shiga,46600,2320,4110,40
2014,滋賀県,Shiga,46400,2290,4090,40
2015,滋賀県,Shiga,46300,2280,4060,40
2016,滋賀県,Shiga,46100,2280,4050,39
2017,滋賀県,Shiga,45800,2270,3970,38
2018,滋賀県,Shiga,45500,2260,3920,38
2019,滋賀県,Shiga,45300,2250,3900,37
2020,滋賀県,Shiga,45100,2240,3810,37
2021,滋賀県,Shiga,44900,2230,3790,37
2022,滋賀県,Shiga,44600,2220,3610,35
1965,埼玉県,Saitama,79000,2050,69900,643
1966,埼玉県,Saitama,78900,2070,68200,622
1967,埼玉県,Saitama,79000,2070,64600,589
1968,埼玉県,Saitama,78400,2060,61900,558
1969,埼玉県,Saitama,77900,2060,59900,539
1970,埼玉県,Saitama,75900,2000,58000,521
1971,埼玉県,Saitama,74300,1980,56700,508
1972,埼玉県,Saitama,73200,1880,55100,479
1973,埼玉県,Saitama,71600,1850,54300,465
1974,埼玉県,Saitama,69800,1800,53300,457
1975,埼玉県,Saitama,67000,1710,52000,440
1976,埼玉県,Saitama,65300,1670,51200,435
1977,埼玉県,Saitama,64500,1630,50400,423
1978,埼玉県,Saitama,63800,1610,49600,417
1979,埼玉県,Saitama,63200,1600,48900,411
1980,埼玉県,Saitama,62600,1580,48200,405
1981,埼玉県,Saitama,61800,1570,47100,391
1982,埼玉県,Saitama,61200,1550,46200,381
1983,埼玉県,Saitama,60700,1530,45300,376
1984,埼玉県,Saitama,60200,1520,44600,370
1985,埼玉県,Saitama,59600,1510,44000,359
1986,埼玉県,Saitama,58900,1490,43400,356
1987,埼玉県,Saitama,58300,1480,42600,348
1988,埼玉県,Saitama,57600,1460,41900,343
1989,埼玉県,Saitama,56900,1440,41100,336
1990,埼玉県,Saitama,56400,1430,40300,329
1991,埼玉県,Saitama,55700,1410,39500,322
1992,埼玉県,Saitama,55000,1390,38800,315
1993,埼玉県,Saitama,54500,1260,38300,312
1994,埼玉県,Saitama,54100,1250,37500,305
1995,埼玉県,Saitama,53500,1240,37100,301
1996,埼玉県,Saitama,52700,1220,36600,298
1997,埼玉県,Saitama,52000,1210,36300,293
1998,埼玉県,Saitama,51400,1190,36000,292
1999,埼玉県,Saitama,50800,1180,35800,291
2000,埼玉県,Saitama,50300,1170,35700,289
2001,埼玉県,Saitama,49400,1150,35800,289
2002,埼玉県,Saitama,48400,1120,36200,294
2003,埼玉県,Saitama,47800,1110,36500,300
2004,埼玉県,Saitama,46900,1090,37200,308
2005,埼玉県,Saitama,46000,1070,37400,312
2006,埼玉県,Saitama,45600,1060,37300,312
2007,埼玉県,Saitama,45000,1010,36700,308
2008,埼玉県,Saitama,44000,1000,36100,304
2009,埼玉県,Saitama,43400,1000,35800,301
2010,埼玉県,Saitama,43100,996,35400,297
2011,埼玉県,Saitama,42700,990,35000,291
2012,埼玉県,Saitama,42300,981,34800,290
2013,埼玉県,Saitama,41900,973,34500,288
2014,埼玉県,Saitama,41700,968,34100,284
2015,埼玉県,Saitama,41400,964,33700,284
2016,埼玉県,Saitama,41100,960,33500,283
2017,埼玉県,Saitama,40700,960,33300,284
2018,埼玉県,Saitama,40500,951,33100,284
2019,埼玉県,Saitama,40300,947,32900,284
2020,埼玉県,Saitama,40200,943,32700,282
2021,埼玉県,Saitama,40000,940,32300,277
2022,埼玉県,Saitama,39900,937,32200,276
1965,佐賀県,Saga,55400,2780,20500,1420
1966,佐賀県,Saga,55200,2770,21300,1480
1967,佐賀県,Saga,54700,2750,21500,1500
1968,佐賀県,Saga,54300,2720,21500,1490
1969,佐賀県,Saga,53900,2680,21800,1510
1970,佐賀県,Saga,53400,2680,22000,1700
1971,佐賀県,Saga,52500,2640,22200,1720
1972,佐賀県,Saga,52100,2560,22200,1720
1973,佐賀県,Saga,51700,2530,22500,1740
1974,佐賀県,Saga,50900,2490,22400,1740
1975,佐賀県,Saga,50500,2450,22200,1720
1976,佐賀県,Saga,50200,2430,22000,1710
1977,佐賀県,Saga,49900,2440,21700,1700
1978,佐賀県,Saga,49700,2400,21700,1680
1979,佐賀県,Saga,49500,2400,21600,1680
1980,佐賀県,Saga,49200,2370,21500,1670
1981,佐賀県,Saga,48900,2310,21300,1660
1982,佐賀県,Saga,48700,2280,21300,1660
1983,佐賀県,Saga,48500,2260,21200,1660
1984,佐賀県,Saga,48300,2240,21000,1660
1985,佐賀県,Saga,48000,2230,20900,1660
1986,佐賀県,Saga,47800,2210,20700,1650
1987,佐賀県,Saga,47500,2190,20400,1620
1988,佐賀県,Saga,47300,2180,20100,1600
1989,佐賀県,Saga,47000,2170,18600,1480
1990,佐賀県,Saga,46500,2150,18000,1420
1991,佐賀県,Saga,46100,2120,17500,1390
1992,佐賀県,Saga,45500,2100,16700,1330
1993,佐賀県,Saga,45000,2070,16000,1260
1994,佐賀県,Saga,44700,2030,15000,1190
1995,佐賀県,Saga,44400,2020,14200,1120
1996,佐賀県,Saga,44100,2000,13600,1080
1997,佐賀県,Saga,43700,1990,13200,1050
1998,佐賀県,Saga,43500,1950,12700,1010
1999,佐賀県,Saga,43300,1940,12600,1000
2000,佐賀県,Saga,43000,1930,12200,972
2001,佐賀県,Saga,42800,1920,11900,943
2002,佐賀県,Saga,42700,1920,11500,920
2003,佐賀県,Saga,42800,1910,11000,896
2004,佐賀県,Saga,42700,1910,10900,884
2005,佐賀県,Saga,42600,1900,10700,872
2006,佐賀県,Saga,42400,1890,10500,858
2007,佐賀県,Saga,42300,1880,10300,846
2008,佐賀県,Saga,42200,1880,10100,829
2009,佐賀県,Saga,42100,1870,9940,815
2010,佐賀県,Saga,41900,1870,9860,807
2011,佐賀県,Saga,41800,1860,9730,797
2012,佐賀県,Saga,41800,1860,9620,787
2013,佐賀県,Saga,41700,1860,9460,774
2014,佐賀県,Saga,41500,1860,9340,739
2015,佐賀県,Saga,41200,1870,9190,727
2016,佐賀県,Saga,40900,1870,9100,719
2017,佐賀県,Saga,40600,1850,8880,701
2018,佐賀県,Saga,40400,1840,8600,680
2019,佐賀県,Saga,40300,1840,8300,657
2020,佐賀県,Saga,40100,1830,8150,645
2021,佐賀県,Saga,40000,1820,8010,635
2022,佐賀県,Saga,39900,1820,7850,622
1965,大阪府,Osaka,29300,1320,7370,80
1966,大阪府,Osaka,28200,1270,7260,79
1967,大阪府,Osaka,26500,1200,7060,77
1968,大阪府,Osaka,25500,1180,6980,79
1969,大阪府,Osaka,23900,1120,6820,77
1970,大阪府,Osaka,22200,1060,6490,75
1971,大阪府,Osaka,20900,1020,6340,73
1972,大阪府,Osaka,19600,962,6260,73
1973,大阪府,Osaka,18500,913,6110,72
1974,大阪府,Osaka,17600,879,6090,72
1975,大阪府,Osaka,16800,853,6000,71
1976,大阪府,Osaka,16500,846,6060,72
1977,大阪府,Osaka,16200,844,6120,75
1978,大阪府,Osaka,15700,837,6120,74
1979,大阪府,Osaka,15300,819,6120,75
1980,大阪府,Osaka,15000,804,6040,73
1981,大阪府,Osaka,14500,784,5990,71
1982,大阪府,Osaka,14200,778,5910,70
1983,大阪府,Osaka,13900,750,5780,68
1984,大阪府,Osaka,13700,737,5680,69
1985,大阪府,Osaka,13500,728,5580,68
1986,大阪府,Osaka,13400,722,5470,64
1987,大阪府,Osaka,13200,715,5400,63
1988,大阪府,Osaka,13000,703,5270,62
1989,大阪府,Osaka,12700,687,5040,60
1990,大阪府,Osaka,12400,668,4930,60
1991,大阪府,Osaka,12200,664,4920,63
1992,大阪府,Osaka,12100,661,4880,63
1993,大阪府,Osaka,12000,656,4850,63
1994,大阪府,Osaka,11900,647,4790,63
1995,大阪府,Osaka,11800,638,4720,62
1996,大阪府,Osaka,11700,633,4630,60
1997,大阪府,Osaka,11300,617,4390,58
1998,大阪府,Osaka,11100,605,4190,56
1999,大阪府,Osaka,10900,596,4060,56
2000,大阪府,Osaka,10600,582,4000,55
2001,大阪府,Osaka,10400,573,4000,54
2002,大阪府,Osaka,10400,570,3880,53
2003,大阪府,Osaka,10300,564,3760,51
2004,大阪府,Osaka,10200,564,3750,52
2005,大阪府,Osaka,10200,559,3730,51
2006,大阪府,Osaka,10100,555,3720,51
2007,大阪府,Osaka,10000,552,3710,51
2008,大阪府,Osaka,9870,542,3730,51
2009,大阪府,Osaka,9700,543,3760,54
2010,大阪府,Osaka,9560,540,3770,54
2011,大阪府,Osaka,9420,539,3800,55
2012,大阪府,Osaka,9320,538,3800,55
2013,大阪府,Osaka,9200,531,3770,55
2014,大阪府,Osaka,9040,525,3740,53
2015,大阪府,Osaka,8900,525,3750,53
2016,大阪府,Osaka,8800,524,3710,52
2017,大阪府,Osaka,8630,514,3740,53
2018,大阪府,Osaka,8510,507,3760,53
2019,大阪府,Osaka,8380,499,3760,53
2020,大阪府,Osaka,8250,492,3730,52
2021,大阪府,Osaka,8150,486,3710,52
2022,大阪府,Osaka,8000,477,3670,52
1965,沖縄県,Okinawa,,,,
1966,沖縄県,Okinawa,,,,
1967,沖縄県,Okinawa,,,,
1968,沖縄県,Okinawa,,,,
1969,沖縄県,Okinawa,,,,
1970,沖縄県,Okinawa,,,,
1971,沖縄県,Okinawa,,,,
1972,沖縄県,Okinawa,,,,
1973,沖縄県,Okinawa,,,,
1974,沖縄県,Okinawa,1840,142,39000,2360
1975,沖縄県,Okinawa,1670,127,37500,2230
1976,沖縄県,Okinawa,1410,94,37400,1800
1977,沖縄県,Okinawa,1210,80,38100,1870
1978,沖縄県,Okinawa,1170,78,38900,1920
1979,沖縄県,Okinawa,1140,76,39800,1940
1980,沖縄県,Okinawa,1080,72,40600,1990
1981,沖縄県,Okinawa,1010,67,41400,2020
1982,沖縄県,Okinawa,921,63,41800,2100
1983,沖縄県,Okinawa,872,57,42200,1990
1984,沖縄県,Okinawa,835,53,42900,1850
1985,沖縄県,Okinawa,818,53,43600,1740
1986,沖縄県,Okinawa,825,53,44000,1740
1987,沖縄県,Okinawa,815,53,44300,1630
1988,沖縄県,Okinawa,817,53,44300,1620
1989,沖縄県,Okinawa,823,53,44400,1620
1990,沖縄県,Okinawa,823,53,44500,1620
